City,Property Type,Average_Bed,Square Footage,Address,Zip code,Price,Average_Price,Country
Ottawa,apartment,2,1100,"1230-1240 Emperor Ave  - Ottawa , ON",K1Z 6H7,,1849,Canada
Ottawa,apartment,6,1000,"149 Henderson  - Ottawa , ON",K1N 0A6,,920,Canada
Ottawa,apartment,1,650,"251 Bolton St.  - Ottawa , ON",K1N 5B3,,1650,Canada
Ottawa,apartment,0,950,"105 Rosemount Ave.  - Ottawa , ON",K1Y 3H7,,1400,Canada
Ottawa,apartment,1,850,"111 Wurtemburg Street  - Ottawa , ON",K1N 8Z7,,1975,Canada
Ottawa,apartment,2.5,1100,"305 Rideau St  - Ottawa , ON",K1N 5Y4,,1527.5,Canada
Ottawa,apartment,1,650,"111 Cooper Street  - Ottawa , ON",K2P 1J2,,1582.5,Canada
Ottawa,apartment,2,1000,"430 Daly Ave.  - Ottawa , ON",K1N 6H3,,2100,Canada
Ottawa,apartment,1,1350,"408 Albert St.  - Ottawa , ON",K1R 5B2,,1700,Canada
Ottawa,apartment,1.5,450,"641 Bathgate Drive  - Ottawa , ON",K1K 0S6,,3245,Canada
Ottawa,apartment,1,650,"72 Flora St.  - Ottawa , ON",K2P 1A7,,1400,Canada
Ottawa,apartment,2,1200,"400 Montfort Street  - Ottawa , ON",K1L 6B3,,2095,Canada
Ottawa,shared-room,2,2500,"111 Cooper Street  - Ottawa , ON",K2P 1J2,,1076,Canada
Ottawa,condo,2,500,"672 Danaca Private  - Gloucester , ON",Postal code not found,,2700,Canada
Ottawa,house,5,546,"2083 Delmar Drive  - Ottawa , ON",K1H 5N1,,3300,Canada
Ottawa,apartment,1,1048,"982 Fisher Avenue  - Ottawa , ON",K1Z 7W8,,2195,Canada
Ottawa,multi-unit,2,766,"125 Henderson Avenue  - Ottawa , ON",K1N 0A6,,1950,Canada
Ottawa,apartment,3,600,"451 Echo Drive  - Ottawa , ON",K1S 2H2,,2900,Canada
Ottawa,apartment,1,583,"41 McNaughton Avenue  - Ottawa , ON",K1S 1C4,,2300,Canada
Ottawa,apartment,1,787,"180 Beausoleil Drive  - Ottawa , ON",K1N 5V3,,1550,Canada
Ottawa,apartment,2,1200,"419 Ravenhill Avenue  - Ottawa , ON",K2A 3L9,,2287,Canada
Ottawa,apartment,2,1200,"158 McArthur Avenue  - Ottawa , ON",K1L 6P8,,2100,Canada
Ottawa,apartment,3,1300,"228 Woodroffe Avenue  - Ottawa , ON",K2A 3V1,,2675,Canada
Ottawa,apartment,1,800,"211 Besserer Street  - Ottawa , ON",K1N 7M7,,1700,Canada
Ottawa,apartment,2,1300,"447 Catherine Street  - Ottawa , ON",K1R 6K2,,1796,Canada
Ottawa,town-house,2,500,"277 Squadron Crescent  - Ottawa , ON",K1K 0S6,,2590,Canada
Ottawa,house,3,1500,"560 Buchanan Crescent  - Ottawa , ON",K1J 6H2,,4100,Canada
Ottawa,basement,1,1300,"492 Mutual Street  - Ottawa , ON",K1K 1G5,,1600,Canada
Ottawa,apartment,1,965,"82 First Avenue  - Ottawa , ON",K1S 2G1,,2295,Canada
Ottawa,private-room,1,350,"1220 Prince of Wales Drive  - Ottawa , ON",K2C 1N2,,850,Canada
Ottawa,private-room,1.5,650,"Harper Avenue  - Ottawa , ON",K1J 1G1,,2000,Canada
Ottawa,apartment,3,993,"415 Elgin Street  - Ottawa , ON",K2P 1N3,,2580,Canada
Ottawa,private-room,1,625,"1 Hillmount Crescent  - Ottawa , ON",K2G 2Y7,,850,Canada
Ottawa,condo,2,1050,"313 Saint Patrick Street  - Ottawa , ON",K1N 1E7,,2500,Canada
Ottawa,condo,2,800,"124 Guigues Avenue  - Ottawa , ON",K1N 7E1,,2475,Canada
Ottawa,house,2,700,"675 Blair Road  - Ottawa , ON",K1J 6N5,,2300,Canada
Ottawa,house,4,1000,"159 MacKay Street  - Ottawa , ON",K1M 2J7,,3700,Canada
Ottawa,duplex,1,1000,"134 Forward Avenue  - Ottawa , ON",K1Y 1L4,,1800,Canada
Ottawa,house,3,1800,"134 Forward Avenue  - Ottawa , ON",K1Y 1L4,,3500,Canada
